street,label,location,heading,pitch,fov,radius,bottom_crop,source,sample_location,pano_id,pano_lat,pano_lng,pano_date,status,group_id,created_at
auto_49,auto_Jc7Xi7VatU0pFlRUNuZuKg_h180,"45.3613233,-75.7565873",180,0,90,50,30,auto_sampler,"45.3612212,-75.7570510",Jc7Xi7VatU0pFlRUNuZuKg,45.3613233239224,-75.75658729942745,2023-06,ok,Jc7Xi7VatU0pFlRUNuZuKg,2026-02-28T21:27:24.962Z
auto_50,auto_Jc7Xi7VatU0pFlRUNuZuKg_h225,"45.3613233,-75.7565873",225,0,90,50,30,auto_sampler,"45.3612212,-75.7570510",Jc7Xi7VatU0pFlRUNuZuKg,45.3613233239224,-75.75658729942745,2023-06,ok,Jc7Xi7VatU0pFlRUNuZuKg,2026-02-28T21:27:24.962Z
auto_51,auto_Jc7Xi7VatU0pFlRUNuZuKg_h270,"45.3613233,-75.7565873",270,0,90,50,30,auto_sampler,"45.3612212,-75.7570510",Jc7Xi7VatU0pFlRUNuZuKg,45.3613233239224,-75.75658729942745,2023-06,ok,Jc7Xi7VatU0pFlRUNuZuKg,2026-02-28T21:27:24.962Z
auto_52,auto_Jc7Xi7VatU0pFlRUNuZuKg_h315,"45.3613233,-75.7565873",315,0,90,50,30,auto_sampler,"45.3612212,-75.7570510",Jc7Xi7VatU0pFlRUNuZuKg,45.3613233239224,-75.75658729942745,2023-06,ok,Jc7Xi7VatU0pFlRUNuZuKg,2026-02-28T21:27:24.962Z
auto_53,auto_Jc7Xi7VatU0pFlRUNuZuKg_h0,"45.3613233,-75.7565873",0,0,90,50,30,auto_sampler,"45.3612212,-75.7570510",Jc7Xi7VatU0pFlRUNuZuKg,45.3613233239224,-75.75658729942745,2023-06,ok,Jc7Xi7VatU0pFlRUNuZuKg,2026-02-28T21:27:24.962Z
auto_54,auto_Jc7Xi7VatU0pFlRUNuZuKg_h45,"45.3613233,-75.7565873",45,0,90,50,30,auto_sampler,"45.3612212,-75.7570510",Jc7Xi7VatU0pFlRUNuZuKg,45.3613233239224,-75.75658729942745,2023-06,ok,Jc7Xi7VatU0pFlRUNuZuKg,2026-02-28T21:27:24.962Z
auto_55,auto_Jc7Xi7VatU0pFlRUNuZuKg_h90,"45.3613233,-75.7565873",90,0,90,50,30,auto_sampler,"45.3612212,-75.7570510",Jc7Xi7VatU0pFlRUNuZuKg,45.3613233239224,-75.75658729942745,2023-06,ok,Jc7Xi7VatU0pFlRUNuZuKg,2026-02-28T21:27:24.962Z
auto_56,auto_Jc7Xi7VatU0pFlRUNuZuKg_h135,"45.3613233,-75.7565873",135,0,90,50,30,auto_sampler,"45.3612212,-75.7570510",Jc7Xi7VatU0pFlRUNuZuKg,45.3613233239224,-75.75658729942745,2023-06,ok,Jc7Xi7VatU0pFlRUNuZuKg,2026-02-28T21:27:24.962Z
auto_57,auto_7YUoub95aTvEbWVW2cXe8A_h180,"45.3958470,-75.6526054",180,0,90,50,30,auto_sampler,"45.3956352,-75.6525632",7YUoub95aTvEbWVW2cXe8A,45.39584704673069,-75.65260542181005,2024-10,ok,7YUoub95aTvEbWVW2cXe8A,2026-02-28T21:27:25.189Z
auto_58,auto_7YUoub95aTvEbWVW2cXe8A_h225,"45.3958470,-75.6526054",225,0,90,50,30,auto_sampler,"45.3956352,-75.6525632",7YUoub95aTvEbWVW2cXe8A,45.39584704673069,-75.65260542181005,2024-10,ok,7YUoub95aTvEbWVW2cXe8A,2026-02-28T21:27:25.189Z
auto_59,auto_7YUoub95aTvEbWVW2cXe8A_h270,"45.3958470,-75.6526054",270,0,90,50,30,auto_sampler,"45.3956352,-75.6525632",7YUoub95aTvEbWVW2cXe8A,45.39584704673069,-75.65260542181005,2024-10,ok,7YUoub95aTvEbWVW2cXe8A,2026-02-28T21:27:25.189Z
auto_60,auto_7YUoub95aTvEbWVW2cXe8A_h315,"45.3958470,-75.6526054",315,0,90,50,30,auto_sampler,"45.3956352,-75.6525632",7YUoub95aTvEbWVW2cXe8A,45.39584704673069,-75.65260542181005,2024-10,ok,7YUoub95aTvEbWVW2cXe8A,2026-02-28T21:27:25.189Z
auto_61,auto_7YUoub95aTvEbWVW2cXe8A_h0,"45.3958470,-75.6526054",0,0,90,50,30,auto_sampler,"45.3956352,-75.6525632",7YUoub95aTvEbWVW2cXe8A,45.39584704673069,-75.65260542181005,2024-10,ok,7YUoub95aTvEbWVW2cXe8A,2026-02-28T21:27:25.189Z
auto_62,auto_7YUoub95aTvEbWVW2cXe8A_h45,"45.3958470,-75.6526054",45,0,90,50,30,auto_sampler,"45.3956352,-75.6525632",7YUoub95aTvEbWVW2cXe8A,45.39584704673069,-75.65260542181005,2024-10,ok,7YUoub95aTvEbWVW2cXe8A,2026-02-28T21:27:25.189Z
auto_63,auto_7YUoub95aTvEbWVW2cXe8A_h90,"45.3958470,-75.6526054",90,0,90,50,30,auto_sampler,"45.3956352,-75.6525632",7YUoub95aTvEbWVW2cXe8A,45.39584704673069,-75.65260542181005,2024-10,ok,7YUoub95aTvEbWVW2cXe8A,2026-02-28T21:27:25.189Z
auto_64,auto_7YUoub95aTvEbWVW2cXe8A_h135,"45.3958470,-75.6526054",135,0,90,50,30,auto_sampler,"45.3956352,-75.6525632",7YUoub95aTvEbWVW2cXe8A,45.39584704673069,-75.65260542181005,2024-10,ok,7YUoub95aTvEbWVW2cXe8A,2026-02-28T21:27:25.189Z
auto_65,auto_x3jvMhdI-AB8siN3Dplh2Q_h180,"45.3936812,-75.6168620",180,0,90,50,30,auto_sampler,"45.3936730,-75.6168645",x3jvMhdI-AB8siN3Dplh2Q,45.39368120161563,-75.61686200377332,2024-10,ok,x3jvMhdI-AB8siN3Dplh2Q,2026-02-28T21:27:25.535Z
auto_66,auto_x3jvMhdI-AB8siN3Dplh2Q_h225,"45.3936812,-75.6168620",225,0,90,50,30,auto_sampler,"45.3936730,-75.6168645",x3jvMhdI-AB8siN3Dplh2Q,45.39368120161563,-75.61686200377332,2024-10,ok,x3jvMhdI-AB8siN3Dplh2Q,2026-02-28T21:27:25.535Z
auto_67,auto_x3jvMhdI-AB8siN3Dplh2Q_h270,"45.3936812,-75.6168620",270,0,90,50,30,auto_sampler,"45.3936730,-75.6168645",x3jvMhdI-AB8siN3Dplh2Q,45.39368120161563,-75.61686200377332,2024-10,ok,x3jvMhdI-AB8siN3Dplh2Q,2026-02-28T21:27:25.535Z
